"Species"	"Parameter"	"Count"	"Minimum"	"Maximum"	"Average"	"Median"	"StDeviation"	"Variance"	"FirstQuantile.25%"	"ThirdQuantile.75%"
"1"	"setosa"	"Petal.Length"	50	1	1.9	1.462	1.5	0.173663996480184	0.0301591836734694	1.4	1.575
"2"	"setosa"	"Petal.Width"	50	0.1	0.6	0.246	0.2	0.105385589380046	0.0111061224489796	0.2	0.3
"3"	"setosa"	"Sepal.Length"	50	4.3	5.8	5.006	5	0.352489687213451	0.124248979591837	4.8	5.2
"4"	"setosa"	"Sepal.Width"	50	2.3	4.4	3.428	3.4	0.379064369096289	0.143689795918367	3.2	3.675
"5"	"versicolor"	"Petal.Length"	50	3	5.1	4.26	4.35	0.469910977239958	0.220816326530612	4	4.6
"6"	"versicolor"	"Petal.Width"	50	1	1.8	1.326	1.3	0.197752680004544	0.0391061224489796	1.2	1.5
"7"	"versicolor"	"Sepal.Length"	50	4.9	7	5.936	5.9	0.516171147063863	0.266432653061224	5.6	6.3
"8"	"versicolor"	"Sepal.Width"	50	2	3.4	2.77	2.8	0.313798323378411	0.098469387755102	2.525	3
"9"	"virginica"	"Petal.Length"	50	4.5	6.9	5.552	5.55	0.551894695663983	0.304587755102041	5.1	5.875
"10"	"virginica"	"Petal.Width"	50	1.4	2.5	2.026	2	0.274650055636667	0.0754326530612245	1.8	2.3
"11"	"virginica"	"Sepal.Length"	50	4.9	7.9	6.588	6.5	0.635879593274432	0.404342857142857	6.225	6.9
"12"	"virginica"	"Sepal.Width"	50	2.2	3.8	2.974	3	0.322496638172637	0.104004081632653	2.8	3.175
